interval,url,request_count,numero_completo,coddepende
6.00 h,/pt-pt/sip-digital/9469054,94.00,9469054,69054
6.00 h,/pt-pt/sip-digital/9469179,26.00,9469179,69179
6.00 h,/pt-pt/sip-digital/9469005,17.00,9469005,69005
6.00 h,/pt-pt/sip-digital/9469146,17.00,9469146,69146
6.00 h,/pt-pt/sip-digital/9473007,14.00,9473007,73007
6.00 h,/pt-pt/sip-digital/9469088,11.00,9469088,69088
6.00 h,/pt-pt/sip-digital/9469104,11.00,9469104,69104
6.00 h,/pt-pt/sip-digital/9472009,11.00,9472009,72009
6.00 h,/pt-pt/sip-digital/9473544,11.00,9473544,73544
6.00 h,/pt-pt/sip-digital/9473452,10.00,9473452,73452
6.00 h,/pt-pt/sip-digital/9473379,9.00,9473379,73379
6.00 h,/pt-pt/sip-digital/9464055,6.00,9464055,64055
6.00 h,/pt-pt/sip-digital/9469187,6.00,9469187,69187
6.00 h,/pt-pt/sip-digital/9469260,6.00,9469260,69260
6.00 h,/pt-pt/sip-digital/9442002,5.00,9442002,42002
6.00 h,/pt-pt/sip-digital/9444107,5.00,9444107,44107
6.00 h,/pt-pt/sip-digital/9469203,5.00,9469203,69203
6.00 h,/pt-pt/sip-digital/9469237,5.00,9469237,69237
6.00 h,/pt-pt/sip-digital/9473106,5.00,9473106,73106
6.00 h,/pt-pt/sip-digital/9473197,5.00,9473197,73197
6.00 h,/pt-pt/sip-digital/9473320,5.00,9473320,73320
6.00 h,/pt-pt/sip-digital/9490092,5.00,9490092,90092
6.00 h,/pt-pt/sip-digital/9442218,4.00,9442218,42218
6.00 h,/pt-pt/sip-digital/9444016,4.00,9444016,44016
6.00 h,/pt-pt/sip-digital/9469013,4.00,9469013,69013
6.00 h,/pt-pt/sip-digital/9469229,4.00,9469229,69229
6.00 h,/pt-pt/sip-digital/9460087,3.00,9460087,60087
6.00 h,/pt-pt/sip-digital/9460111,3.00,9460111,60111
6.00 h,/pt-pt/sip-digital/9469039,3.00,9469039,69039
6.00 h,/pt-pt/sip-digital/9473569,3.00,9473569,73569
6.00 h,/pt-pt/sip-digital/9478006,3.00,9478006,78006
6.00 h,/pt-pt/sip-digital/9492577,3.00,9492577,92577
6.00 h,/pt-pt/sip-digital/9443000,2.00,9443000,43000
6.00 h,/pt-pt/sip-digital/9469120,2.00,9469120,69120
6.00 h,/pt-pt/sip-digital/9469161,2.00,9469161,69161
6.00 h,/pt-pt/sip-digital/9474476,2.00,9474476,74476
6.00 h,/pt-pt/sip-digital/9418440,1.00,9418440,18440
6.00 h,/pt-pt/sip-digital/9431039,1.00,9431039,31039
6.00 h,/pt-pt/sip-digital/9444255,1.00,9444255,44255
6.00 h,/pt-pt/sip-digital/9462133,1.00,9462133,62133
6.00 h,/pt-pt/sip-digital/9469245,1.00,9469245,69245
6.00 h,/pt-pt/sip-digital/9473031,1.00,9473031,73031
6.00 h,/pt-pt/sip-digital/9477388,1.00,9477388,77388
6.00 h,/pt-pt/sip-digital/9478063,1.00,9478063,78063
6.00 h,/pt-pt/sip-digital/9478238,1.00,9478238,78238
6.00 h,/pt-pt/sip-digital/9490050,1.00,9490050,90050
6.00 h,/pt-pt/sip-digital/9490183,1.00,9490183,90183
6.00 h,/pt-pt/sip-digital/9490464,1.00,9490464,90464
